Country,Year,male_death_rate,female_death_rate
Kuwait,2012,12.1,5.54
Kuwait,2013,11.24,5.16
Kuwait,2014,12.49,4.46
Kuwait,2015,11.85,4.87
Kuwait,2016,10.19,4.13
Kuwait,2017,11.99,4.69
Kuwait,2018,7.83,4.01
Kuwait,2019,10.1,3.71
Kyrgyzstan,1981,30.03,4.65
Kyrgyzstan,1982,35.19,4.45
Kyrgyzstan,1985,33.75,3.8
Kyrgyzstan,1986,35.56,4.99
Kyrgyzstan,1987,34.86,5.88
Kyrgyzstan,1988,37.78,6.37
Kyrgyzstan,1989,42.1,5.21
Kyrgyzstan,1990,38.6,6.97
Kyrgyzstan,1991,39.92,5.97
Kyrgyzstan,1992,38.82,6.22
Kyrgyzstan,1993,30.07,4.89
Kyrgyzstan,1994,27.89,5.5
Kyrgyzstan,1995,28.4,4.31
Kyrgyzstan,1996,26.55,4.55
Kyrgyzstan,1997,26.34,5.14
Kyrgyzstan,1998,24.71,4.7
Kyrgyzstan,1999,24.59,4
Kyrgyzstan,2000,22.45,5.5
Kyrgyzstan,2001,21.91,5.32
Kyrgyzstan,2002,24.47,4.72
Kyrgyzstan,2003,24.36,5.35
Kyrgyzstan,2004,22.55,5.09
Kyrgyzstan,2005,22.42,4.51
Kyrgyzstan,2006,21.7,4.98
Kyrgyzstan,2007,19.06,4.31
Kyrgyzstan,2008,18.49,4.17
Kyrgyzstan,2009,22.91,4.86
Kyrgyzstan,2010,22.75,5.21
Kyrgyzstan,2011,21.32,4.48
Kyrgyzstan,2012,21.01,4.1
Kyrgyzstan,2013,23.19,5.36
Kyrgyzstan,2014,25.24,4.5
Kyrgyzstan,2015,20.58,4.93
Kyrgyzstan,2016,20.85,5.85
Kyrgyzstan,2017,21.2,4.55
Kyrgyzstan,2018,22.41,4.85
Kyrgyzstan,2019,19.25,4.8
Latvia,1980,56.43,6.19
Latvia,1981,55.46,6.31
Latvia,1982,62.98,6.63
Latvia,1983,62.37,6.62
Latvia,1984,61.3,6.77
Latvia,1985,63.66,7.15
Latvia,1986,67.85,8.36
Latvia,1987,68.65,8
Latvia,1988,70.42,6.98
Latvia,1989,68.99,7.98
Latvia,1990,67.73,7.36
Latvia,1991,74.93,7.41
Latvia,1992,71.58,6.91
Latvia,1993,67.04,7.24
Latvia,1994,71.85,6.52
Latvia,1995,66.61,6.89
Latvia,1996,68.16,7.17
Latvia,1997,62.94,6.89
Latvia,1998,63.76,7.06
Latvia,1999,68.02,7.02
Latvia,2000,61.66,6.82
Latvia,2001,67.42,7.16
Latvia,2002,62.97,7
Latvia,2003,61.66,7.58
Latvia,2004,62.59,6.55
Latvia,2005,60.55,8.03
Latvia,2006,66.39,8.13
Latvia,2007,59.32,8.34
Latvia,2008,59.47,6.04
Latvia,2009,59.12,7.1
Latvia,2010,57.6,7.26
Latvia,2011,55.81,7.85
Latvia,2012,54.22,8.09
Latvia,2013,53.67,8.08
Latvia,2014,51.76,7.26
Latvia,2015,45.62,8.57
Latvia,2016,49.58,7.25
Latvia,2017,52.1,7.99
Latvia,2018,46.46,8.72
Latvia,2019,46.77,7.48
Latvia,2020,47.76,8.55
Lebanon,2019,18.01,8.25
Lithuania,1981,56.88,5.57
Lithuania,1982,56.28,5.92
Lithuania,1985,59.13,6.53
Lithuania,1986,60.71,5.89
Lithuania,1987,62.8,5.66
Lithuania,1988,64.55,6.16
Lithuania,1989,65.02,6.39
Lithuania,1990,66.63,6.89
Lithuania,1991,70.43,6.73
Lithuania,1992,68.46,5.66
Lithuania,1993,67.98,7.03
Lithuania,1994,69.67,5.77
Lithuania,1995,68.85,6.39
Lithuania,1996,65.8,6.01
Lithuania,1997,63.25,6.24
Lithuania,1998,66,5.24
Lithuania,1999,64.56,6.53
Lithuania,2000,59.91,5.89
Lithuania,2001,61.65,6.75
Lithuania,2002,60.63,5.56
Lithuania,2003,59.4,6.88
Lithuania,2004,56.84,6.48
Lithuania,2005,55.13,6.47
Lithuania,2006,59.25,6.75
Lithuania,2007,58.94,5.99
Lithuania,2008,55.42,6.47
Lithuania,2009,54.93,6.88
Lithuania,2010,53.18,5.44
Lithuania,2011,55.5,5.7
Lithuania,2012,51.95,7.21
Lithuania,2013,49.99,7.19
Lithuania,2014,50.49,7.13
Lithuania,2015,51.2,6.57
Lithuania,2016,47.66,6.99
Lithuania,2017,44.18,7.48
Lithuania,2018,42.81,6.99
Lithuania,2019,44.87,7.53
Lithuania,2020,42.2,7.33
Luxembourg,1967,68.05,5.34
Luxembourg,1968,70.32,3.62
Luxembourg,1969,61.2,4.15
Luxembourg,1970,77.05,3.84
Luxembourg,1971,74.35,4.24
Luxembourg,1972,68.61,8.61
Luxembourg,1973,74.46,4.21
Luxembourg,1974,59.69,4.14
Luxembourg,1975,73.26,6.34
Luxembourg,1976,76.11,6.45
Luxembourg,1977,80.35,5.25
Luxembourg,1978,74.18,6.39
Luxembourg,1979,74.67,8.05
Luxembourg,1980,77.25,9.03
Luxembourg,1981,80.67,5.94
Luxembourg,1982,82.3,4.28
Luxembourg,1983,80.29,7.4
Luxembourg,1984,76.48,11.5
Luxembourg,1985,76.79,11.05
Luxembourg,1986,83.05,6.72
Luxembourg,1987,77.09,9.44
Luxembourg,1988,82.43,8.52
Luxembourg,1989,71,10.74
Luxembourg,1990,69.33,9.47
Luxembourg,1991,63.71,10.06
Luxembourg,1992,70.67,10.53
Luxembourg,1993,69.36,9.06
Luxembourg,1994,58.72,12.41
Luxembourg,1995,67.98,10.62
Luxembourg,1996,62.72,10.83
Luxembourg,1997,60.61,15.7
Luxembourg,1998,59.56,12.66
Luxembourg,1999,53.35,14.38
Luxembourg,2000,54.82,12.09
Luxembourg,2001,46.98,11.96
Luxembourg,2002,50.36,9.03
Luxembourg,2003,52.65,16.52
Luxembourg,2004,46.86,11.43
Luxembourg,2005,43.34,14.22
Luxembourg,2006,44.74,11.88
Luxembourg,2007,47.69,20.33
Luxembourg,2008,33.03,10.96
Luxembourg,2009,45.11,15.27
Luxembourg,2010,39.72,13.03
Luxembourg,2011,37.74,14.67
Luxembourg,2012,38.23,18.04
Luxembourg,2013,33.02,13.39
Luxembourg,2014,40.47,16.54
Luxembourg,2015,33.41,14.59
Luxembourg,2016,38.14,14.24
Luxembourg,2017,28.7,18.41
Luxembourg,2018,23.37,10.19
Luxembourg,2019,25.26,13.78
Maldives,2000,0,0
Maldives,2001,0,0
Maldives,2002,0,0
Maldives,2003,0,0
Maldives,2004,2.61,0.83
Maldives,2005,2.47,4
Maldives,2007,4.08,2.3
Maldives,2008,6.67,1.34
Maldives,2010,6.71,1.15
Maldives,2011,13.2,2.84
Maldives,2012,7.35,5.6
Maldives,2013,10.89,3.78
Maldives,2014,6.32,0.82
Maldives,2015,5.78,0.98
Maldives,2016,2.13,2.82
Maldives,2017,2.73,0.74
Maldives,2018,10.7,3.75
Maldives,2019,12.23,6.8
Malta,1965,39.84,2.6
Malta,1967,29.8,2.71
Malta,1968,37.28,3.04
Malta,1969,43.6,4.97
Malta,1970,36.24,1.93
Malta,1971,45.56,3.56
Malta,1972,26.9,0.53
Malta,1973,37.03,1.06
Malta,1974,37.13,2.8
Malta,1975,54.63,1.34
Malta,1976,48.58,5.82
Malta,1977,39.09,4.07
Malta,1978,50.15,2.14
Malta,1979,50.64,4.78
Malta,1980,51.21,4.97
Malta,1981,57.69,6.65
Malta,1982,48.61,6.17
Malta,1983,52.77,7.82
Malta,1984,50.49,5.75
Malta,1985,58.6,2.96
Malta,1986,53.89,5.69
Malta,1987,54.17,2.34
Malta,1988,40.04,5.49
Malta,1989,52.91,4.81
Malta,1990,47.87,3.57
Malta,1991,48.53,2.72
Malta,1992,51.85,5.56
Malta,1993,50.72,6.5
Malta,1994,47.65,6.84
Malta,1995,53.01,3.15
Malta,1996,57.95,7.51
Malta,1997,46.56,4.87
Malta,1998,38.42,7.08
Malta,1999,44.49,5.4
Malta,2000,40.08,9.05
Malta,2001,46.4,6.66
Malta,2002,47.06,4.74
Malta,2003,41.89,6.23
Malta,2004,39.46,4.67
Malta,2005,37.12,5.02
Malta,2006,39.78,5.38
Malta,2007,33.62,6.65
Malta,2008,40.95,5.52
Malta,2009,38.73,7.24
Malta,2010,36.04,9.61
Malta,2011,35.88,8.69
Malta,2012,39.54,8.96
Malta,2013,30.82,8.71
Malta,2014,37.2,6.06
Malta,2015,36.99,9.21
Malta,2016,31.9,11.17
Malta,2017,30.26,10.54
Martinique,1970,12.3,3.91
Martinique,1971,6.99,2.81
Martinique,1974,8.84,1.41
Martinique,1975,17.97,1.99
Martinique,1981,16.98,2.48
Martinique,1982,6.98,2.66
Martinique,1985,10.93,6.37
Martinique,2000,13.04,3.98
Martinique,2001,11.11,3.83
Martinique,2002,12.88,2.11
Martinique,2003,14.38,4.5
Martinique,2004,11.96,4.41
Martinique,2005,12.39,4.31
Martinique,2006,18.07,6.55
Martinique,2007,12.21,6.85
Martinique,2008,9.51,7.56
Martinique,2009,11.87,6.64
Martinique,2010,13.56,7.88
Martinique,2011,12.41,4.82
Martinique,2013,12.9,7.06
Martinique,2014,9.15,5.01
Martinique,2015,13.07,5.15
Martinique,2016,12.93,4.57
Mauritius,1961,9.77,1.68
Mauritius,1962,8.67,1.22
Mauritius,1963,6.62,1.48
Mauritius,1964,8.55,1.8
Mauritius,1965,3.23,0.47
Mauritius,1966,8.92,3.08
Mauritius,1967,8.36,2.3
Mauritius,1968,13.29,2.18
Mauritius,1969,12.73,0.91
Mauritius,1970,12.51,4.24
Mauritius,1971,9.41,3.43
Mauritius,1972,16.43,2.6
Mauritius,1973,21.7,2.96
Mauritius,1974,7.61,3.86
Mauritius,1975,13.88,3.06
Mauritius,1976,15.87,2.45
Mauritius,1977,10.14,4.73
Mauritius,1978,15.19,3.4
Mauritius,1979,22.48,6.22
Mauritius,1980,24.63,2.2
Mauritius,1981,36.5,5.05
Mauritius,1982,23.84,3.9
Mauritius,1983,17.63,3.61
Mauritius,1984,22.51,4.81
Mauritius,1985,23.98,4.8
Mauritius,1986,20.82,4.46
Mauritius,1987,16.49,4.83
Mauritius,1988,24.22,7.09
Mauritius,1989,21.92,5.77
Mauritius,1990,19.13,4.97
Mauritius,1991,22.06,5.52
Mauritius,1992,20.37,3.76
Mauritius,1993,17.85,4.13
Mauritius,1994,17.28,5.02
Mauritius,1995,20.28,4.89
Mauritius,1996,19.61,3.98
Mauritius,1997,14.66,3.72
Mauritius,1998,19.35,5.61
Mauritius,1999,16.72,5.43
Mauritius,2000,14.88,4.38
Mauritius,2001,23.56,4.97
Mauritius,2002,18.54,5.8
Mauritius,2003,22.44,6.48
Mauritius,2004,19.95,5.76
Mauritius,2005,15.86,6.31
Mauritius,2006,19.94,5.54
Mauritius,2007,17.45,5.19
Mauritius,2008,22.89,5.61
Mauritius,2009,19.42,6.08
Mauritius,2010,18.06,5.47
Mauritius,2011,17.55,4.98
Mauritius,2012,18.52,5.46
Mauritius,2013,19.17,5.17
Mauritius,2014,19.43,4.45
Mauritius,2015,16.57,6.39
Mauritius,2016,18.4,3.66
Mauritius,2017,14.62,5.09
Mauritius,2018,12.5,5.67
Mauritius,2019,16.01,5.52
Mauritius,2020,12.46,4.67
Mayotte,2012,9.59,4.24
Mayotte,2013,1.44,4
Mayotte,2014,9.06,1.56
Mayotte,2015,7.98,5.03
Mayotte,2016,11.39,1.62
Mexico,1955,4.11,2.64
Mexico,1956,4.77,2.94
Mexico,1957,5.11,3.31
Mexico,1958,6.22,3.34
Mexico,1959,6.23,4.02
Mexico,1960,6.68,3.7
Mexico,1961,6.35,3.85
Mexico,1962,6.02,3.51
Mexico,1963,6.28,3.75
Mexico,1964,6.73,3.7
Mexico,1965,7.46,3.86
Mexico,1966,7.31,4.19
Mexico,1967,8.35,4.26
Mexico,1968,7.87,4.04
Mexico,1969,8.08,4.19
Mexico,1970,8.52,4.4
Mexico,1971,8.78,4.6
Mexico,1972,8.98,4.67
Mexico,1973,9.07,4.69
Mexico,1974,9.49,4.07
Mexico,1975,10.3,4.2
Mexico,1976,10.76,4.52
Mexico,1977,10.89,4.76
Mexico,1978,12.15,4.61
Mexico,1979,13.19,5.15
Mexico,1980,12.37,5.1
Mexico,1981,14.45,5.62
Mexico,1982,15.01,5.42
Mexico,1983,16.33,6.77
Mexico,1984,15.04,5.89
Mexico,1985,17.03,6.59
Mexico,1986,17.64,6.83
Mexico,1987,18.68,6.82
Mexico,1988,18.95,6.9
Mexico,1989,19.91,6.77
Mexico,1990,18.6,6.89
Mexico,1991,18.81,6.89
Mexico,1992,18.58,6.97
Mexico,1993,19.61,6.78
Mexico,1994,18.8,7.12
Mexico,1995,18.76,6.89
Mexico,1996,16.32,6.23
Mexico,1997,16.65,6.53
Mexico,1998,15.84,6.07
Mexico,1999,15.76,6
Mexico,2000,14.92,5.79
Mexico,2001,14.87,5.56
Mexico,2002,14.81,5.8
Mexico,2003,14.5,5.58
Mexico,2004,14.04,5.6
Mexico,2005,14.1,5.37
Mexico,2006,12.94,5.39
Mexico,2007,11.82,4.98
Mexico,2008,11.75,4.93
Mexico,2009,11.08,4.75
Mexico,2010,10.71,4.74
Mexico,2011,10.11,4.71
Mexico,2012,9.47,4.22
Mexico,2013,9.2,4.37
Mexico,2014,9.1,4.41
Mexico,2015,8.95,4.41
Mexico,2016,8.74,4.43
Mexico,2017,8.47,4.36
Mexico,2018,7.92,4.32
Mexico,2019,7.7,4.07
Mexico,2020,7.36,3.98
Moldova,1981,33.59,6.72
Moldova,1982,35.81,5.32
Moldova,1985,42.35,6.59
Moldova,1986,43.83,6.58
Moldova,1987,44.75,8.41
Moldova,1988,48.15,7.47
Moldova,1989,50.69,8.92
Moldova,1990,49.21,7.04
Moldova,1991,46.04,7.83
Moldova,1992,45.63,5.62
Moldova,1993,44.46,7.47
Moldova,1994,47.67,6.9
Moldova,1995,44.09,6.16
Moldova,1996,45.03,6.39
Moldova,1997,44.88,7.96
Moldova,1998,39.66,6.92
Moldova,1999,35.72,6.9
Moldova,2000,35.21,5.91
Moldova,2001,38.17,7.13
Moldova,2002,35.61,6.39
Moldova,2003,38.78,7.37
Moldova,2004,36.9,6.85
Moldova,2005,38.05,6.24
Moldova,2006,38.54,6.3
Moldova,2007,38.44,7.22
Moldova,2008,39.13,7.04
Moldova,2009,37.46,6.98
Moldova,2010,39.84,7.02
Moldova,2011,38.3,6.64
Moldova,2012,38.42,7.02
Moldova,2013,37.48,7.05
Moldova,2014,37.81,7.36
Moldova,2015,38.56,6.59
Moldova,2016,39.36,6.31
Moldova,2017,34.55,6.17
Moldova,2018,36.74,6.65
Mongolia,1994,42.15,11.62
Mongolia,2016,39.72,6.5
Montenegro,2000,55.66,14.65
Montenegro,2001,53.61,13.41
Montenegro,2002,54.42,14.51
Montenegro,2003,60.66,16.35
Montenegro,2004,57.17,16.87
Montenegro,2005,61.2,17.56
Montenegro,2006,53.09,14.98
Montenegro,2007,60.05,12.89
Montenegro,2008,53.04,14.58
Montenegro,2009,51.29,14.59
Montenegro,2017,46.53,15.19
Montenegro,2019,40.5,14.26
Netherlands,1950,24.77,3.37
Netherlands,1951,27.96,4.09
Netherlands,1952,28.86,3.15
Netherlands,1953,29.91,3.54
Netherlands,1954,33.36,3.76
Netherlands,1955,33.41,3.18
Netherlands,1956,37.29,3.76
Netherlands,1957,38.18,3.62
Netherlands,1958,39.67,3.34
Netherlands,1959,43.43,3.52
Netherlands,1960,45.16,3.73
Netherlands,1961,49.23,4.22
Netherlands,1962,51.32,3.62
Netherlands,1963,54.4,4.02
Netherlands,1964,56.7,3.97
Netherlands,1965,57.58,3.86
Netherlands,1966,61.39,3.75
Netherlands,1967,65.21,4.14
Netherlands,1968,67.71,4.48
Netherlands,1969,68.67,3.73
Netherlands,1970,71.16,4.17
Netherlands,1971,74.93,4.42
Netherlands,1972,74.71,4.74
Netherlands,1973,78.05,4.39
Netherlands,1974,78.74,5.04
Netherlands,1975,81.57,4.91
Netherlands,1976,84.46,5.24
Netherlands,1977,83.54,5.71
Netherlands,1978,88.22,6.13
Netherlands,1979,86.26,6.06
Netherlands,1980,88.79,6.83
Netherlands,1981,88.7,7.3
Netherlands,1982,89.32,7.73
Netherlands,1983,87.15,8
Netherlands,1984,88.75,9.04
Netherlands,1985,88.31,9.12
Netherlands,1986,89.15,9.78
Netherlands,1987,86.79,9.8
Netherlands,1988,86.9,10.84
Netherlands,1989,83.13,11.5
Netherlands,1990,78.49,11.29
Netherlands,1991,78.69,11.73
Netherlands,1992,76.88,12.79
Netherlands,1993,75.59,13.7
Netherlands,1994,73.11,14.51
Netherlands,1995,71.59,15.1
Netherlands,1996,68.88,15.22
Netherlands,1997,67.25,16.08
Netherlands,1998,65.53,16.37
Netherlands,1999,63.59,17.53
Netherlands,2000,59.47,18.4
Netherlands,2001,59.18,18.71
Netherlands,2002,57.8,19.9
Netherlands,2003,54.37,20.78
Netherlands,2004,56.02,21.69
Netherlands,2005,53.67,22.61
Netherlands,2006,51.63,22.93
Netherlands,2007,51.18,24.16
Netherlands,2008,49.77,24.62
Netherlands,2009,48.65,24.13
Netherlands,2010,48.11,24.35
Netherlands,2011,46.99,25.82
Netherlands,2012,43.76,25.5
Netherlands,2013,41.91,25.22
Netherlands,2014,40.44,25.42
Netherlands,2015,38.95,25.3
Netherlands,2016,38.79,25.27
Netherlands,2017,36.79,23.83
Netherlands,2018,33.45,23.78
Netherlands,2019,31.67,22.75
Netherlands,2020,30.23,22.43
New Zealand,1950,18.26,2.9
New Zealand,1951,20.98,3.87
New Zealand,1952,23.99,3.91
New Zealand,1953,23.56,3.4
New Zealand,1954,25.11,2.88
New Zealand,1955,28.56,3.44
New Zealand,1956,29.01,5.1
New Zealand,1957,32.51,3.79
New Zealand,1958,31.15,4.51
New Zealand,1959,32.62,4.46
New Zealand,1960,30.53,5.09
New Zealand,1961,35,5.87
New Zealand,1962,37.87,4.78
New Zealand,1963,39.89,6.03
New Zealand,1964,40.24,5.9
New Zealand,1965,40.68,5.14
New Zealand,1966,44.52,5.37
New Zealand,1967,41.26,6.58
New Zealand,1968,49.81,6.88
New Zealand,1969,50.68,8.01
New Zealand,1970,52.48,9.84
New Zealand,1971,51.41,8.88
New Zealand,1972,46.47,10.69
New Zealand,1973,50.75,11.91
New Zealand,1974,54.47,12.21
New Zealand,1975,55.9,11.94
New Zealand,1976,57.34,11.35
New Zealand,1977,56.78,13.02
New Zealand,1978,54.85,13.75
New Zealand,1979,56.78,14.17
New Zealand,1980,56.27,14.46
New Zealand,1981,57.18,15.77
New Zealand,1982,53.32,15.36
New Zealand,1983,58.27,14.97
New Zealand,1984,59.34,15.15
New Zealand,1985,52.51,16.61
New Zealand,1986,55.37,15.83
New Zealand,1987,54.43,18.89
New Zealand,1988,51.01,18.35
New Zealand,1989,50.16,19.58
New Zealand,1990,49.49,20.01
New Zealand,1991,45.44,19.06
New Zealand,1992,48.61,18.9
New Zealand,1993,44.73,18.76
New Zealand,1994,44.87,20.04
New Zealand,1995,42.82,20.71
New Zealand,1996,42.6,19.78
New Zealand,1997,40.71,21.19
New Zealand,1998,38.72,20.23
New Zealand,1999,38.34,21.23
New Zealand,2000,36.79,19.51
New Zealand,2001,35.11,21.43
New Zealand,2002,35.05,20.63
New Zealand,2003,33.39,21.63
New Zealand,2004,35.86,21.38
New Zealand,2005,32.29,19.07
New Zealand,2006,29.48,21.32
New Zealand,2007,30.27,20.35
New Zealand,2008,30.06,22.59
New Zealand,2009,28.85,20.98
New Zealand,2010,28.64,21.21
New Zealand,2011,27.96,21.19
New Zealand,2012,26.8,19.55
New Zealand,2013,25.29,20.7
New Zealand,2014,25.11,20.12
New Zealand,2015,26.23,21.02
New Zealand,2016,25.07,19.75
Nicaragua,2005,6.24,3.99
Nicaragua,2006,6.51,2.61
Nicaragua,2007,7.07,3.26
Nicaragua,2008,6.54,3.73
Nicaragua,2009,6.27,4.3
Nicaragua,2010,6.69,3.24
Nicaragua,2011,7.22,3.18
Nicaragua,2012,7.33,4.46
Nicaragua,2013,6.29,4.08
Nicaragua,2014,5.75,3.72
Nicaragua,2015,6.32,3.6
Nicaragua,2016,5.54,3.71
Nicaragua,2017,5.27,3.08
Nicaragua,2018,5.2,2.86
Nicaragua,2019,5.1,3.25
North Macedonia,1991,33.45,5.45
North Macedonia,1992,37.23,5.15
North Macedonia,1993,40.3,5.65
North Macedonia,1994,44.54,8.03
North Macedonia,1995,39.42,6.75
North Macedonia,1996,44.13,7.73
North Macedonia,1997,45.04,7.14
North Macedonia,1998,46.47,7.68
North Macedonia,1999,42.79,8.14
North Macedonia,2000,44.67,8.6
North Macedonia,2001,44.97,7.84
North Macedonia,2002,45.58,6.25
North Macedonia,2003,46.99,6.53
North Macedonia,2004,46.73,7.48
North Macedonia,2005,48.56,8.81
North Macedonia,2006,49.92,8.71
North Macedonia,2007,50.02,8.79
North Macedonia,2008,49.24,9.49
North Macedonia,2009,51.35,9.36
North Macedonia,2010,50.26,9.38
North Macedonia,2011,47.26,8.48
North Macedonia,2012,47.24,9.82
North Macedonia,2013,48.8,10.33
North Macedonia,2015,46.07,10.47
North Macedonia,2016,46.98,12.56
North Macedonia,2017,39.55,11.39
North Macedonia,2018,45.14,11.53
North Macedonia,2019,38.13,11.61
North Macedonia,2020,43.3,10.39
Norway,1951,7.69,2.77
Norway,1952,8.41,3.53
Norway,1953,7.56,2.53
Norway,1954,9.6,2.53
Norway,1955,8.66,3.03
Norway,1956,9.99,2.6
Norway,1957,9.85,2.87
Norway,1958,11.23,2.48
Norway,1959,12.44,3.15
Norway,1960,13.74,2.9
Norway,1961,13.48,2.8
Norway,1962,13.32,2.95
Norway,1963,14.87,2.92
Norway,1964,15.22,3.4
Norway,1965,15.59,2.47
Norway,1966,15.62,2.94
Norway,1967,17.68,3.79
Norway,1968,19.89,3.83
Norway,1969,19.97,4.27
Norway,1970,20.97,3.88
Norway,1971,21.42,4.39
Norway,1972,21.3,4.29
Norway,1973,22.17,4.73
Norway,1974,21.61,4.49
Norway,1975,25.14,5.08
Norway,1976,25.64,4.99
Norway,1977,27.05,5.39
Norway,1978,27.49,5.37
Norway,1979,27.4,5.92
Norway,1980,26.99,6.39
Norway,1981,32.74,6.26
Norway,1982,32.11,7.62
Norway,1983,30.85,7.41
Norway,1984,32.37,8.5
Norway,1985,33.09,9.45
Norway,1986,34.58,9.71
Norway,1987,34.67,9.45
Norway,1988,34.97,11.29
Norway,1989,33.34,10.98
Norway,1990,33.72,11.61
Norway,1991,35.59,12.02
Norway,1992,35.14,11.6
Norway,1993,35.99,12.27
Norway,1994,35.99,14.66
Norway,1995,35.34,14.3
Norway,1996,35.22,15.77
Norway,1997,35.51,17.86
Norway,1998,34.79,15.72
Norway,1999,36.25,15.21
Norway,2000,34.48,17.59
Norway,2001,34.66,18.24
Norway,2002,37.04,17.82
Norway,2003,35.59,18.35
Norway,2004,34.5,19.1
Norway,2005,33.69,19.49
Norway,2006,34.21,19.12
Norway,2007,33.79,20.73
Norway,2008,32.56,21.44
Norway,2009,32.63,18.92
Norway,2010,32.03,20.9
Norway,2011,31.7,20.59
Norway,2012,30.4,20.08
Norway,2013,28.64,20.24
Norway,2014,27.89,20.05
Norway,2015,26.8,19.78
Norway,2016,25.91,19.96
Panama,1955,7.24,1.41
Panama,1956,7.8,1.35
Panama,1957,11.31,2.1
Panama,1958,8.82,2.36
Panama,1959,6.43,3.27
Panama,1960,7.63,3.06
Panama,1961,11.31,3.05
Panama,1962,8.17,3.74
Panama,1963,8.56,2.25
Panama,1964,8.62,1.13
Panama,1965,12.45,3.46
Panama,1966,10.41,1.31
Panama,1967,8.96,1.97
Panama,1968,9.52,0.9
Panama,1969,9.18,2.36
Panama,1970,11.71,2.58
Panama,1971,10.24,2.65
Panama,1972,13.2,2.38
Panama,1973,11.03,4.63
Panama,1974,11.69,3.63
Panama,1975,14.58,4.04
Panama,1976,12.75,2.76
Panama,1977,15.53,3.81
Panama,1978,13.45,3.37
Panama,1979,17.54,4.25
Panama,1980,19.4,5.17
Panama,1981,14.34,3.31
Panama,1982,16.08,4.93
Panama,1983,15.89,4.35
Panama,1984,17.65,5.05
Panama,1985,15.33,4.69
Panama,1986,18.87,5.07
Panama,1987,16.15,6.04
Panama,1988,16.44,3.73
Panama,1989,17.27,4.79
Panama,1996,14.76,4.95
Panama,1997,12.89,4.71
Panama,1998,14.68,4.08
Panama,1999,14.13,4.01
Panama,2000,12.27,5.43
Panama,2001,13.34,4.2
Panama,2002,13.73,5.65
Panama,2003,14.67,6.24
Panama,2004,13.07,6.18
Panama,2005,13.46,5.87
Panama,2006,13.84,5.45
Panama,2007,13.65,3.94
Panama,2008,14.41,5.59
Panama,2009,11.17,5
Panama,2010,11.6,4.3
Panama,2011,11.66,4.97
Panama,2012,11.34,4.07
Panama,2013,10.65,5.81
Panama,2014,10.42,5.27
Panama,2015,10.61,6
Panama,2016,8.93,4.55
Panama,2017,8.32,3.83
Panama,2018,8.08,3.83
Panama,2019,8.14,4.32
Paraguay,2000,15.41,3.22
Paraguay,2001,15.77,3.69
Paraguay,2002,13.97,3.48
Paraguay,2003,17.18,3.83
Paraguay,2004,14.54,3.71
Paraguay,2005,16.01,3.13
Paraguay,2006,16.51,3.37
Paraguay,2007,15.07,4.63
Paraguay,2008,16.96,3.29
Paraguay,2009,18.53,4.17
Paraguay,2010,18.51,4.86
Paraguay,2011,17.68,4.17
Paraguay,2012,16.3,4.87
Paraguay,2013,17.93,4.26
Paraguay,2014,16.15,4.14
Paraguay,2015,18.26,3.6
Paraguay,2016,16.61,5.08
Paraguay,2017,17.62,4.15
Paraguay,2018,16.17,3.5
Paraguay,2019,16.85,3.8
Peru,1995,10.42,4.98
Peru,1996,10.23,4.89
Peru,1997,8.96,4.4
Peru,1998,9.51,5.27
Peru,1999,4.34,2.53
Peru,2000,9.63,5.08
Peru,2001,8.06,4.49
Peru,2002,7.12,4.92
Peru,2003,8.23,5.54
Peru,2004,8.96,5.88
Peru,2005,9.99,6.35
Peru,2006,8.93,5.6
Peru,2007,9.18,6.27
Peru,2008,9.87,6.81
Peru,2009,9.9,6.68
Peru,2010,9.68,6.8
Peru,2011,8.99,7.25
Peru,2012,8.85,6.56
Peru,2013,7.79,6.34
Peru,2014,7.89,5.94
Peru,2015,7.24,5.5
Peru,2016,5.74,4.68
Peru,2017,6.21,5.12
Peru,2018,6.74,6.06
Philippines,1963,1.16,0.54
Philippines,1964,4.77,2.11
Philippines,1965,5.51,2.33
Philippines,1966,5.22,2.73
Philippines,1967,5.21,2.36
Philippines,1968,5.88,2.77
Philippines,1969,5.65,2.65
Philippines,1992,21.04,6.49
Philippines,1993,21.22,6.58
Philippines,1994,19.33,5.5
Philippines,1995,21.25,6.38
Philippines,1996,22.04,7.05
Philippines,1997,23.9,6.58
Philippines,1998,25.51,7
Philippines,1999,26.08,7.55
Philippines,2000,28.22,7.85
Philippines,2001,28.29,7.7
Philippines,2002,28.88,7.91
Philippines,2003,27.89,7.75
Philippines,2006,26.11,7.79
Philippines,2007,26.32,7.92
Philippines,2008,25.94,7.68
Philippines,2009,24.98,7.7
Philippines,2010,23.87,7.71
Philippines,2011,23.3,7.49
Philippines,2014,19.68,6.92
Philippines,2016,20.17,7.42
Philippines,2017,18.8,7.23
Philippines,2018,18.33,7.01
Philippines,2019,17.09,7.09
Poland,1959,15.54,3.37
Poland,1960,18.79,3.58
Poland,1961,20.33,4.16
Poland,1962,22.57,4.36
Poland,1963,25.71,4.36
Poland,1964,28.67,4.52
Poland,1965,29.87,4.88
Poland,1966,32.38,4.94
Poland,1967,34.51,5.07
Poland,1968,36.95,5.56
Poland,1969,36.7,5.61
Poland,1970,38.98,5.32
Poland,1971,42.59,5.75
Poland,1972,43.32,5.71
Poland,1973,46.88,5.66
